***  
*   Special particles used to compose "quasi-particles" such as scalar states that are then built from K-matrix poles
*     
*
***
*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
4.295E+03   ,1.0E+00,1.0E+00,5.30E+01    ,1.0E+01,1.0E+01,0   ,-,0   ,+,-, ,2999999000443,  0, ,R,X(4350)S        ,cC  
4.295E+03   ,1.0E+00,1.0E+00,5.30E+01    ,1.0E+01,1.0E+01,0   ,-,1   ,-,-, ,3999999000443,  0, ,R,X(4350)V        ,cC              
4.295E+03   ,1.0E+00,1.0E+00,5.30E+01    ,1.0E+01,1.0E+01,0   ,-,1   ,+,-, ,4999999000443,  0, ,R,X(4350)A        ,cC                          
4.475E+03   ,1.0E+00,1.0E+00,7.00E+01    ,1.0E+01,1.0E+01,0   ,-,0   ,+,-, ,999000443,     0, ,R,X(4500)        ,cC              
4.650E+03   ,1.0E+00,1.0E+00,12.10E+01    ,1.0E+01,1.0E+01,0  ,-,1   ,-,-, ,5000443,0, ,R,X(4630)V        ,cC              
4.650E+03   ,1.0E+00,1.0E+00,12.10E+01    ,1.0E+01,1.0E+01,0  ,-,2   ,-,-, ,55000443,0, ,R,X(4630)T        ,cC              
4.675E+03   ,1.0E+00,1.0E+00,12.10E+01    ,1.0E+01,1.0E+01,0  ,-,1   ,+,-, ,9999999000443, 0, ,R,X(4685)        ,cC              
4.693E+03   ,1.0E+00,1.0E+00,8.30E+01    ,1.0E+01,1.0E+01,0   ,-,0   ,+,-, ,9999000443,    0, ,R,X(4700)        ,cC              
*
*
*
4.475E+03   ,1.0E+00,1.0E+00,7.00E+01    ,1.0E+01,1.0E+01,0  ,-,0   ,+,-, ,1999000443,   0, ,R,Xs(4500)        ,cC              
4.693E+03   ,1.0E+00,1.0E+00,8.30E+01    ,1.0E+01,1.0E+01,0  ,-,0   ,+,-, ,19999000443,   0, ,R,Xs(4700)        ,cC              
*
4.116E+03   ,1.0E+00,1.0E+00,13.00E+01    ,1.0E+01,1.0E+01,0  ,-,1   ,+,-, ,800443,   0, ,R,Xs(4140)        ,cC              
4.295E+03   ,1.0E+00,1.0E+00,5.30E+01    ,1.0E+01,1.0E+01,0  ,-,1   ,+,-, ,1800443,   0, ,R,Xs(4274)        ,cC              
4.675E+03   ,1.0E+00,1.0E+00,12.10E+01    ,1.0E+01,1.0E+01,0  ,-,1   ,+,-, ,18800443,   0, ,R,Xs(4675)        ,cC              
*
4.650E+03   ,1.0E+00,1.0E+00,12.10E+01    ,1.0E+01,1.0E+01,0  ,-,1   ,-,-, ,19980443,   0, ,R,Xs(4650)        ,cC              
4.176E+03   ,1.0E+00,1.0E+00,11.20E+01    ,1.0E+01,1.0E+01,0  ,-,2   ,-,-, ,198800443,   0, ,R,Xs(4175)        ,cC   
*          
**
*              
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+,+, ,   9981,   0, ,R,NonResS          ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,-,+, ,   99911,   0, ,R,NonResP          ,??
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2, ,1   ,+, ,F,   9983,   0, ,R,NonResA          ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2, ,1   ,-, ,F,   99933,   0, ,R,NonResV          ,??
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,2   ,+,+, ,   9985,   0, ,S,NonResT          ,??         
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,2   ,-,+, ,   9986,   0, ,S,NonResPT         ,??

9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+,+, ,   99981,   0, ,R,NonResS2          ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,-,+, ,   999911,   0, ,R,NonResP2          ,??
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2, ,1   ,+, ,F,   99983,   0, ,R,NonResA2          ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2, ,1   ,-, ,F,   999933,   0, ,R,NonResV2          ,??
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,2   ,+,+, ,   99985,   0, ,S,NonResT2          ,??         
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,2   ,-,+, ,   99986,   0, ,S,NonResPT2         ,??

9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+,+, ,   999981,   0, ,R,NonResS3          ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,-,+, ,   9999911,   0, ,R,NonResP3          ,??
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2, ,1   ,+, ,F,   999983,   0, ,R,NonResA3          ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2, ,1   ,-, ,F,   9999933,   0, ,R,NonResV3          ,??
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,2   ,+,+, ,   999985,   0, ,S,NonResT3          ,??         
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,2   ,-,+, ,   999986,   0, ,S,NonResPT3         ,??

9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+,+, ,   9999981,   0, ,R,NonResS4          ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,-,+, ,   99999911,   0, ,R,NonResP4          ,??
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2, ,1   ,+, ,F,   9999983,   0, ,R,NonResA4          ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2, ,1   ,-, ,F,   99999933,   0, ,R,NonResV4          ,??
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,2   ,+,+, ,   9999985,   0, ,S,NonResT4          ,??         
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,2   ,-,+, ,   9999986,   0, ,S,NonResPT4         ,??

9.990E+03     ,1.0E+00,1.0E+00,9.9E+09     ,1.0E+00,1.0E+00,0  , ,1/2 ,-, ,F,   9987,   0,4,R,NonRes1m         ,??
9.990E+03     ,1.0E+00,1.0E+00,9.9E+09     ,1.0E+00,1.0E+00,0  , ,1/2 ,+, ,F,   9988,   0,4,R,NonRes1p         ,??
9.990E+03     ,1.0E+00,1.0E+00,9.9E+09     ,1.0E+00,1.0E+00,0  , ,3/2 ,-, ,F,   9989,   0,4,R,NonRes3m         ,??
9.990E+03     ,1.0E+00,1.0E+00,9.9E+09     ,1.0E+00,1.0E+00,0  , ,3/2 ,+, ,F,   9910,   0,4,R,NonRes3p         ,??
9.970E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998100,   0, ,R,PiPi0            ,x(uU+dD)+y(sS)   
9.970E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998101,   0, ,R,PiPi1            ,x(uU+dD)+y(sS)   
9.970E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998102,   0, ,R,PiPi2            ,x(uU+dD)+y(sS)   
9.970E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998103,   0, ,R,PiPi3            ,x(uU+dD)+y(sS)  
9.970E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998104,   0, ,R,PiPi4            ,x(uU+dD)+y(sS) 
9.970E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998105,   0, ,R,PiPi5            ,x(uU+dD)+y(sS) 
9.970E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998106,   0, ,R,PiPi6            ,x(uU+dD)+y(sS) 
9.980E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2,+,0   ,+,+,F, 998110,   0, ,R,KPi0             ,??   
9.980E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2,+,0   ,+,+,F, 998111,   0, ,R,KPi1             ,??   
9.980E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2,+,0   ,+,+,F, 998112,   0, ,R,KPi2             ,??   
9.980E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2,+,0   ,+,+,F, 998113,   0, ,R,KPi3             ,??   
9.980E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2,+,0   ,+,+,F, 998114,   0, ,R,KPi4             ,??   
9.980E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2,+,0   ,+,+,F, 998115,   0, ,R,KPi5             ,??   
9.980E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2,+,0   ,+,+,F, 998116,   0, ,R,KPi6             ,??   
9.980E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1/2,+,0   ,+,+,F, 998117,   0, ,R,KPi7             ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998120,   0, ,R,KK0              ,x(uU+dD)+y(sS)   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998121,   0, ,R,KK1              ,x(uU+dD)+y(sS)   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998122,   0, ,R,KK2              ,x(uU+dD)+y(sS)   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998123,   0, ,R,KK3              ,x(uU+dD)+y(sS)   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998124,   0, ,R,KK4              ,x(uU+dD)+y(sS)   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998125,   0, ,R,KK5              ,x(uU+dD)+y(sS)   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,0  ,+,0   ,+, , , 998126,   0, ,R,KK6              ,x(uU+dD)+y(sS)   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1  ,+,1   ,-,-, , 998130,   0, ,R,rhoOmega0        ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1  ,+,1   ,-,-, , 998131,   0, ,R,rhoOmega1        ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1  ,+,1   ,-,-, , 998132,   0, ,R,rhoOmega2        ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1  ,+,1   ,-,-, , 998133,   0, ,R,rhoOmega3        ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1  ,+,1   ,-,-, , 998134,   0, ,R,rhoOmega4        ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1  ,+,1   ,-,-, , 998135,   0, ,R,rhoOmega5        ,??   
9.990E+03     ,1.0E+01,1.0E+01,9.9E+09     ,3.0E+01,3.0E+01,1  ,+,1   ,-,-, , 998136,   0, ,R,rhoOmega6        ,??   
1.272E+03     ,7.0E+00,7.0E+00,9.0E+01     ,2.0E+01,2.0E+01,1/2, ,1   ,+, ,F, 998200,   +, ,R,Ka               ,uS              
1.272E+03     ,7.0E+00,7.0E+00,9.0E+01     ,2.0E+01,2.0E+01,1/2, ,1   ,+, ,F, 998201,   +, ,R,Kb               ,uS              
1.86484E+03   ,1.7E-01,1.7E-01,1.605E-09   ,6.0E-12,6.0E-12,1/2, ,0   ,-, ,F, 998421,   0, ,R,D~               ,cU              
***
