***  
*   Special particles used to compose "quasi-particles" such as scalar states that are then built from K-matrix poles
*     
*
***
*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       99999994,   0, ,R,X7(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       99999995,   0, ,R,X7(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       99999996,   0, ,R,X7(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       999999991,   0, ,R,X8(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       999999992,   0, ,R,X8(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       999999993,   0, ,R,X8(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       999999994,   0, ,R,X8(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       999999995,   0, ,R,X8(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       999999996,   0, ,R,X8(PT)          ,cC
***
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       9999999991,   0, ,R,X9(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       9999999992,   0, ,R,X9(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       9999999993,   0, ,R,X9(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       9999999994,   0, ,R,X9(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       9999999995,   0, ,R,X9(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       9999999996,   0, ,R,X9(PT)          ,cC
***
***
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       919,   0, ,R,Xs(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       929,   0, ,R,Xs(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       939,   0, ,R,Xs(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       949,   0, ,R,Xs(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       959,   0, ,R,Xs(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       969,   0, ,R,Xs(PT)          ,cC
***
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       9919,   0, ,R,Xs2(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       9929,   0, ,R,Xs2(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       9939,   0, ,R,Xs2(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       9949,   0, ,R,Xs2(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       9959,   0, ,R,Xs2(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       9969,   0, ,R,Xs2(PT)          ,cC
***
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       99919,   0, ,R,Xs3(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       99929,   0, ,R,Xs3(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       99939,   0, ,R,Xs3(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       99949,   0, ,R,Xs3(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       99959,   0, ,R,Xs3(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       99969,   0, ,R,Xs3(PT)          ,cC
***
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       999919,   0, ,R,Xs4(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       999929,   0, ,R,Xs4(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       999939,   0, ,R,Xs4(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       999949,   0, ,R,Xs4(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       999959,   0, ,R,Xs4(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       999969,   0, ,R,Xs4(PT)          ,cC
***
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       9999919,   0, ,R,Xs5(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       9999929,   0, ,R,Xs5(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       9999939,   0, ,R,Xs5(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       9999949,   0, ,R,Xs5(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       9999959,   0, ,R,Xs5(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       9999969,   0, ,R,Xs5(PT)          ,cC
***
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       99999919,   0, ,R,Xs6(S)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       99999929,   0, ,R,Xs6(P)         ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       99999939,   0, ,R,Xs6(V)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       99999949,   0, ,R,Xs6(A)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       99999959,   0, ,R,Xs6(T)          ,cC
4.8E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       99999969,   0, ,R,Xs6(PT)          ,cC
***
